Idproyecto;año;fondo;instrumento;provincia;prov1;prov2;prov3;prov4;prov5;prov6;localidad;titulo;destinatario;otraentidad;areatematicanormalizada;montonominal;montorealBase2008;;
1206;2004;COFECyT;PFIP ;FORMOSA;FORMOSA;;;;;;;Centro tecnológico integrado para la innovación agroalimentaria ;Universidad Nacional de Formosa ;Provincia de Formosa;Desarrollo productivo local;$ 105,734; $ 187,826 ;;
1207;2004;COFECyT;PFIP ;FORMOSA;FORMOSA;;;;;;;Producción de abejas reina genéticamente mejoradas ;Universidad Nacional de Formosa ;Provincia de Formosa;Desarrollo productivo local;$ 39,900; $ 70,879 ;;
1208;2004;COFECyT;PFIP ;FORMOSA;FORMOSA;;;;;;;Apicultura agro ecológica ;Miguel Angel García Giménez ;Provincia de Formosa;Desarrollo productivo local;$ 42,665; $ 75,790 ;;
1209;2004;COFECyT;PFIP ;JUJUY;JUJUY;;;;;;;Fomento de la producción de quinua real en el ejido municipal de Cusi Cusi ;Municipalidad de Cusi Cusi ;Provincia de Jujuy;Desarrollo productivo local;$ 120,451; $ 213,970 ;;
1210;2004;COFECyT;PFIP ;JUJUY;JUJUY;;;;;;;Riego: Adecuación e incorporación a una red de estaciones agro meteorológicas para un uso mas eficiente del agua en sistemas actualmente en sistemas agrícolas;Asociación Pro Grano ;Provincia de Jujuy;Desarrollo productivo local;$ 75,000; $ 133,230 ;;
1211;2004;COFECyT;PFIP ;JUJUY;JUJUY;;;;;;;Eficientización del uso de agua de riego y disminución de la erosión del suelo por medio de la implementación de un sistema de riego por goteo en tabaco;"Ministerio de Bienestar Social - Finca ""El Pongo"" ";Provincia de Jujuy;Desarrollo productivo local;$ 83,500; $ 148,330 ;;
1212;2004;COFECyT;PFIP ;LA PAMPA;LA PAMPA;;;;;;;Sistema de información geográfica en producción y sanidad ganadera;Instituto Nacional de Tecnologia Agropecuaria (INTA) ;Provincia de La Pampa;Desarrollo productivo local;$ 190,900; $ 339,115 ;;
1213;2004;COFECyT;PFIP ;LA PAMPA;LA PAMPA;;;;;;;Control de enfermedades venéreas en rodeos bovinos de productores de pequeña escala ;Colegio Veterinario de la pcia de La Pampa ;Provincia de La Pampa;Desarrollo productivo local;$ 159,100; $ 282,626 ;;
1214;2004;COFECyT;PFIP ;LA RIOJA;LA RIOJA;;;;;;;Fabricación productos derivados de la nuez ;Cámara Nogalera Fundación Valle de Huaco ;Provincia de La Rioja;Desarrollo productivo local;$ 95,510; $ 169,664 ;;
1215;2004;COFECyT;PFIP ;LA RIOJA;LA RIOJA;;;;;;;Elaboración de salsas, dulces y licores bombones regionales y artesanales en escala pequeña a mediana;Colegio Secundario Provincial Técnico Enológico-Nonogasta ;Provincia de La Rioja;Desarrollo productivo local;$ 7,754; $ 13,774 ;;
1216;2004;COFECyT;PFIP ;LA RIOJA;LA RIOJA;;;;;;;Elaboración de vinos caseros ;Colegio Secundario Provincial Técnico Enológico-Nonogasta ;Provincia de La Rioja;Desarrollo productivo local;$ 21,560; $ 38,299 ;;
1217;2004;COFECyT;PFIP ;LA RIOJA;LA RIOJA;;;;;;;Vivero forestal-Frutal ornamental ;Colegio Secundario Provincial Técnico Enológico-Nonogasta ;Provincia de La Rioja;Desarrollo productivo local;$ 1,855; $ 3,295 ;;
1218;2004;COFECyT;PFIP ;MENDOZA;MENDOZA;;;;;;;Recuperación y remediación de suelos agrícolas por el uso de recursos minerales naturales (remineralización de suelos);Universidad Nacional de Mendoza - Facultad de Ciencias Aplicadas a la Tecnología;Provincia de Mendoza;Desarrollo productivo local;$ 124,700; $ 221,518 ;;
1219;2004;COFECyT;PFIP ;MENDOZA;MENDOZA;;;;;;;Centro experimental para el aumento de le eficiencia reproductiva caprina orgánica en zonas áridas y semiáridas mediante transferencia de biotecnología;Municipalidad de San Rafael ;Provincia de Mendoza;Desarrollo productivo local;$ 37,205; $ 66,091 ;;
1220;2004;COFECyT;PFIP ;MENDOZA;MENDOZA;;;;;;;Estación orgánica de incubación y cría de ratites mediante el método de doble postura ;Fundación CRICYT ;Provincia de Mendoza;Desarrollo productivo local;$ 51,938; $ 92,263 ;;
1221;2004;COFECyT;PFIP ;MENDOZA;MENDOZA;;;;;;;Estudio de floras nativas para la producción organica de mieles y granos de polen ;Municipalidad de Santa Rosa ;Provincia de Mendoza;Desarrollo productivo local;$ 72,766; $ 129,262 ;;
1222;2004;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Centro de divulgación sustentable: Raza sintética San Ignacio ;Luis Alberto Sartori ;Provincia de Misiones;Desarrollo productivo local;$ 20,000; $ 35,528 ;;
1223;2004;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Fortalecimiento del sistema de información geográfico forestal, incorporación de software de código abierto y uso libre, Transferencia de tecnología a empresas PyMEs;Subsecretaría de Bosques y Forestación de la Provincia de Msiones;Provincia de Misiones;Desarrollo productivo local;$ 150,000; $ 266,461 ;;
1224;2004;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Generación eléctrica descentralizada de baja potencia mediante el aprovechamiento de los residuos de la industria de la madera;Comité Ejecutivo de Desarrollo e Innovación Tecnológica (CEDIT) ;Provincia de Misiones;Desarrollo productivo local;$ 77,000; $ 136,783 ;;
1225;2004;COFECyT;PFIP ;MISIONES;MISIONES;;;;;;;Desarrollo de la producción y aprovechamiento de miel de abejas nativas en la zona centro de Misiones;Municipalidad de Oberá ;Provincia de Misiones;Desarrollo productivo local;$ 60,718; $ 107,860 ;;
1226;2004;COFECyT;PFIP ;NEUQUÉN;NEUQUÉN;;;;;;;El laboratorio meteorológico aplicado a la innovación tecnológica para eficientizar las actividades antrópicas y los recursos naturales;UTN - Unidad Académica Confluencia ;Provincia de Neuquén;Desarrollo productivo local;$ 74,484; $ 132,314 ;;
1227;2004;COFECyT;PFIP ;NEUQUÉN;NEUQUÉN;;;;;;;Cultivo de Pejerrey y Trucha Arco Iris en jaulas en el embalse Ramos Mejía para explotación económica;Municipalidad Villa El Chocón ;Provincia de Neuquén;Desarrollo productivo local;$ 133,100; $ 236,439 ;;
1228;2004;COFECyT;PFIP ;NEUQUÉN;NEUQUÉN;;;;;;;Viñedos y bodegas del Neuquén: Nueva fuente de levaduras para el desarrollo de cultivos iniciadores vinicos autóctonos de la patagonia norte;Universidad Nacional del Comahue ;Provincia de Neuquén;Desarrollo productivo local;$ 47,762; $ 84,845 ;;
1229;2004;COFECyT;PFIP ;NEUQUÉN;NEUQUÉN;;;;;;;Estudio comparativo de rendimiento y calidad de diferentes ecotipos de orégano en el Departamento de Añelo, Pcia del Neuquen;Aromas de la Patagonia SRL ;Provincia de Neuquén;Desarrollo productivo local;$ 94,655; $ 168,145 ;;
1230;2004;COFECyT;PFIP ;RÍO NEGRO;RÍO NEGRO;;;;;;;Diagnostico de la situación y elaboración de anteproyecto de gestión integral de residuos en San Carlos de Bariloche;Universidad Nacional del Comahue ;Provincia de Río Negro;Desarrollo productivo local;$ 74,452; $ 132,257 ;;
