Identidades;identidad;nentidad;entidad;tipo1;tipo2;tipo3;tipo4;tipo5
1150;1150-1;1;Escuela de Economía y Negocios de la Universidad Nacional de San Martín;Estado;Nacional;Universidad pública;UNSAM;UNSAM
1151;1151-1;1;Escuela de Educación Especial n° 506 de Lanús;Estado;Municipal;Institución educativa;Escuela de Educación Especial n° 506 de Lanús;Escuela de Educación Especial n° 506 de Lanús
1152;1152-1;1;Escuela de Educación Integral- Ushuaia;Estado;Provincial;Institución educativa;Escuela de Educación Integral- Ushuaia;Escuela de Educación Integral- Ushuaia
1153;1153-1;1;Escuela de Educación Secundaria Técnica N°13 de Virrey del Pino;Estado;Provincial;Institución educativa;Escuela de Educación Secundaria Técnica N°13 de Virrey del Pino;Escuela de Educación Secundaria Técnica N°13 de Virrey del Pino
1154;1154-1;1;Escuela de Educación Técnica Nº1 Mariano Moreno - Chivilcoy;Estado;Provincial;Institución educativa;Escuela de Educación Técnica Nº1 Mariano Moreno - Chivilcoy;Escuela de Educación Técnica Nº1 Mariano Moreno - Chivilcoy
1155;1155-1;1;Escuela Especial Nº 501;Estado;Provincial;Institución educativa;Escuela Especial Nº 501;Escuela Especial Nº 501
1156;1156-1;1;Escuela Provincial de Educación Secundaria N° 43 “Prof. Hugo del Rosso”;Estado;Provincial;Institución educativa;Escuela Provincial de Educación Secundaria N° 43 “Prof. Hugo del Rosso”;Escuela Provincial de Educación Secundaria N° 43 “Prof. Hugo del Rosso”
1157;1157-1;1;Escuela Secundaria de Educación Técnico Profesional Nº 748;Estado;Provincial;Institución educativa;Escuela Secundaria de Educación Técnico Profesional Nº 748;Escuela Secundaria de Educación Técnico Profesional Nº 748
1158;1158-3;5;Asociacion de Industriales Metalúrgicos de la Republica de la Argentina;Comunidad;Cámara empresarial;Cooperación empresaria o de productores;Asociacion de Industriales Metalúrgicos de la Republica de la Argentina;Asociacion de Industriales Metalúrgicos de la Republica de la Argentina
1158;1158-2;5;CT Electromecanica SRL;Privado;Empresa privada;SRL;CT Electromecanica SRL;CT Electromecanica SRL
1158;1158-1;5;Essen Aluminio SA;Privado;Empresa privada;SA;Essen Aluminio SA;Essen Aluminio SA
1158;1158-4;5;Iapel SA;Privado;Empresa privada;SA;Iapel SA;Iapel SA
1158;1158-5;5;Universidad de Buenos Aires;Estado;Nacional;Universidad pública;UBA;UBA
1159;1159-1;1;Establecimiento Martin Fierro S. H.;Privado;Empresa privada;SH;Establecimiento Martin Fierro S. H.;Establecimiento Martin Fierro S. H.
1160;1160-1;1;Establecimiento Mochi SA;Privado;Empresa privada;SA;Establecimiento Mochi SA;Establecimiento Mochi SA
1161;1161-1;1;Establecimientos metalúrgicos Auros SRL;Privado;Empresa privada;SRL;Establecimientos metalúrgicos Auros SRL;Establecimientos metalúrgicos Auros SRL
1162;1162-1;1;Estación Astronómica Río Grande, Facultad de Ciencias Astronómicas y Geofísicas, Universidad Nacional de La Plata;Estado;Nacional;Universidad pública;UNLP;UNLP
1163;1163-1;1;Estación Experimental AgroIndustrial Obispo Colombres;Estado;Nacional;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1164;1164-1;1;Estación Experimental AgroIndustrial Obispo Colombres;Estado;Nacional;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1165;1165-1;2;Estación Experimental Agroforestal Esquel - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1165;1165-2;2;Agencia de Extensión El Maiten Universidad Nacional de Río Negro, Sede Andina;Estado;Nacional;Universidad pública;UNRN;UNRN
1166;1166-1;1;Estación Experimental AgroIndustrial Obispo Colombres;Estado;Nacional;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1167;1167-1;1;Estación Experimental AgroIndustrial Obispo Colombres;Estado;Nacional;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1168;1168-2;2;Bulacio Argenti SA;Privado;Empresa privada;SA;Bulacio Argenti SA;Bulacio Argenti SA
1168;1168-1;2;Estación Experimental AgroIndustrial Obispo Colombres;Estado;Provincial;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1169;1169-1;1;Estación Experimental AgroIndustrial Obispo Colombres;Estado;Nacional;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1170;1170-2;2;Azucarera Juan M. Teran;Privado;Empresa privada;SA;Azucarera Juan M. Terán;Azucarera Juan M. Terán
1170;1170-1;2;Estación Experimental AgroIndustrial Obispo Colombres;Estado;Provincial;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1171;1171-2;2;Compañía Inversora Industrial SA;Privado;Empresa privada;SA;Compañía Inversora Industrial SA;Compañía Inversora Industrial SA
1171;1171-1;2;Estación Experimental AgroIndustrial Obispo Colombres;Estado;Provincial;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1172;1172-2;2;Citromax S.A.C.I;Privado;Empresa privada;SA;Citromax S.A.C.I;Citromax S.A.C.I
1172;1172-1;2;Estación Experimental AgroIndustrial Obispo Colombres;Estado;Provincial;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1173;1173-1;1;Estación Experimental AgroIndustrial Obispo Colombres;Estado;Nacional;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1174;1174-2;3;Azucarera Juan M. Terán SA;Privado;Empresa privada;SA;Azucarera Juan M. Terán;Azucarera Juan M. Terán
1174;1174-1;3;Estación Experimental Agroindustrial Obispo Colombres;Estado;Provincial;Organismo CyT público;Provincia de Tucumán;Estación Experimental AgroIndustrial Obispo Colombres (Tucumán)
1174;1174-3;3;ZAFRA SA;Privado;Empresa privada;SA;ZAFRA SA;ZAFRA SA
1175;1175-2;2;Cooperativa de trabajo Microban Ltda;Comunidad;Cooperativa;Cooperativa de trabajo;Cooperativa de trabajo Microban Ltda;Cooperativa de trabajo Microban Ltda
1175;1175-1;2;Estación Experimental Agropecuaria - INTA Rafaela;Estado;Nacional;Organismo CyT público;INTA;INTA
1176;1176-1;1;Estacion Experimental Agropecuaria Abra Pampa - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1177;1177-1;2;Estación Experimental Agropecuaria Catamarca - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1177;1177-2;2;Departamento de Química Industrial y Aplicada, Facultad de Ciencias Exactas, Físicas y Naturales - Universidad Nacional de Córdoba;Estado;Nacional;Universidad pública;UNC;UNC
1178;1178-1;1;Estación Experimental Agropecuaria del Área Metropolitana de Buenos Aires - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1179;1179-1;1;ESTACIÓN EXPERIMENTAL AGROPECUARIA INTA ANGUIL;Estado;Nacional;Organismo CyT público;INTA;INTA
1180;1180-1;2;Estación Experimental Agropecuaria Junín, Agencia de Extensión Rural Santa Rosa - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1180;1180-2;2;Universidad Nacional de Cuyo -Instituto de Energía;Estado;Nacional;Universidad pública;UNCU;UNCU
1181;1181-1;2;Estacion Experimental Agropecuaria Mendoza - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1181;1181-2;2;Facultad de Artes y Diseño - Universidad Nacional de Cuyo;Estado;Nacional;Universidad pública;UNCU;UNCU
1182;1182-1;1;Estación Experimental Agropecuaria Saenz Peña - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1183;1183-1;1;Estación Experimental Agropecuaria Salta - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1184;1184-1;2;Estación Experimental Agropecuaria Valle Inferior del Río Negro - ;Estado;Nacional;Organismo CyT público;INTA;INTA
1184;1184-2;2;Smartfield S.R.L;Privado;Empresa privada;SRL;Smartfield S.R.L;Smartfield S.R.L
1185;1185-2;3;Instituto de Ciencia y Tecnología de los Alimentos de Entre Ríos (ICTAER);Estado;Nacional;Organismo CyT público;Instituto CONICET/Universidad Pública;ICTAER (CONICET, UNER)
1185;1185-1;3;Estación Experimental Agropecuaria Yuquerí - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1185;1185-3;3;Parque Nacional El Palmar;Estado;Nacional;Organismo CyT público;APN;Parque Nacional El Palmar (APN)
1186;1186-1;1;Estación Juarez Celman;Estado;Municipal;Municipio o comuna;Estación Juarez Celman;Estación Juarez Celman
1187;1187-1;1;EXE SRL empresas del area de confluencia;Privado;Empresa privada;SRL;EXE SRL empresas del area de confluencia;EXE SRL empresas del area de confluencia
1189;1189-1;1;FABRICA DE PASTAS ARANDA;Privado;Empresa privada;Otro;FABRICA DE PASTAS ARANDA;FABRICA DE PASTAS ARANDA
1190;1190-1;1;Fac. de Cs. Veterinarias - Universidad Nacional de Rosario;Estado;Nacional;Universidad pública;UNR;UNR
1191;1191-1;1;Facultad de Agronomía;Estado;Otro;Universidad pública;Facultad de Agronomía;Facultad de Agronomía
1192;1192-1;1;Facultad de Agronomía - Universidad de Buenos Aires;Estado;Nacional;Universidad pública;UBA;UBA
1193;1193-1;1;Facultad de Agronomía y Agroindustrias - Universidad Nacional de Santiago del Estero;Estado;Nacional;Universidad pública;UNSE;UNSE
1194;1194-1;1;Facultad de Agronomía y Zootecnia - Universidad Nacional de Tucumán;Estado;Nacional;Universidad pública;UNT;UNT
1195;1195-1;1;Facultad de Arquitectura Urbanismo y Diseño - Universidad Nacional de Mar del Plata;Estado;Nacional;Universidad pública;UNMDP;UNMDP
1196;1196-1;1;Facultad de Arquitectura y Urbanismo - Universidad Nacional de Tucumán;Estado;Nacional;Universidad pública;UNT;UNT
1197;1197-1;1;Facultad de Arquitectura y Urbanismo - Universidad Nacional de Tucumán;Estado;Nacional;Universidad pública;UNT;UNT
1198;1198-1;1;Facultad de Arquitectura, Diseño y Urbanismo - Universidad de Buenos Aires ;Estado;Nacional;Universidad pública;UBA;UBA
1199;1199-1;1;Facultad de Arquitectura, Diseño y Urbanismo - Universidad de Buenos Aires ;Estado;Nacional;Universidad pública;UBA;UBA
1200;1200-1;1;Facultad de Arquitectura, Urbanismo y Diseño - Universidad Nacional de Córdoba ;Estado;Nacional;Universidad pública;UNC;UNC
1201;1201-1;1;Facultad de Arte y Diseño, Universidad Nacional de Misiones.;Estado;Nacional;Universidad pública;UNAM;UNAM
1202;1202-1;1;Facultad de Artes y Diseño - Universidad Nacional de Cuyo;Estado;Nacional;Universidad pública;UNCU;UNCU
1203;1203-1;1;Facultad de Artes y Diseño - Universidad Nacional de Cuyo;Estado;Nacional;Universidad pública;UNCU;UNCU
1204;1204-1;1;Facultad de Artes y Diseño - Universidad Nacional de Cuyo;Estado;Nacional;Universidad pública;UNCU;UNCU
1205;1205-1;1;Facultad de Bioquímica y Ciencias Biológicas;Estado;Otro;Universidad pública;Facultad de Bioquímica y Ciencias Biológicas;Facultad de Bioquímica y Ciencias Biológicas
1206;1206-1;1;Facultad de Ciencia y Tecnología Sede Concepción del Uruguay - Universidad Autónoma de Entre Ríos;Estado;Nacional;Universidad pública;UADER;UADER
1207;1207-1;1;Facultad de Ciencias Agrarias - Universidad Nacional de Catamarca - UNCA;Estado;Nacional;Universidad pública;UNCA;UNCA
1208;1208-1;1;Facultad de Ciencias Agrarias - Universidad Nacional de Mar del Plata;Estado;Nacional;Universidad pública;UNMDP;UNMDP
1209;1209-1;1;Facultad de Ciencias Agrarias- Universidad Nacional de Jujuy;Estado;Nacional;Universidad pública;UNJU;UNJU
1210;1210-2;2;Laboratorio de Investigación de Productos Agroindustriales (LIPA), Oficina de Desarrollo Local Berisso, Estación Experimental Agropecuaria del Área Metropolitana de Buenos Aires - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1210;1210-1;2;Facultad de Ciencias Agrarias y Forestales - Universidad Nacional de la Plata;Estado;Nacional;Universidad pública;UNLP;UNLP
1211;1211-1;1;Facultad de Ciencias Agropecuarias - Universidad Nacional de Córdoba;Estado;Nacional;Universidad pública;UNC;UNC
1212;1212-1;1;Facultad de Ciencias Agropecuarias - Universidad Nacional de Córdoba;Estado;Nacional;Universidad pública;UNC;UNC
1213;1213-1;1;Facultad de Ciencias Agropecuarias - Universidad Nacional de Córdoba;Estado;Nacional;Universidad pública;UNC;UNC
1214;1214-2;3;CIDCA (Centro de Investigación y Desarrollo en Criotecnología de Alimentos -CONICET-UNLP;Estado;Interjurisdiccional;Organismo CyT público;Instituto CONICET/Provincia/Universidad Pública;CIDCA (CONICET, CIC, UNLP)
1214;1214-1;3;Facultad de Ciencias de la Alimentación - Universidad nacional de Entre Ríos;Estado;Nacional;Universidad pública;UNER;UNER
1214;1214-3;3;Facultad de Ciencias de la Salud - Universidad Nacional de Entre Ríos;Estado;Nacional;Universidad pública;UNER;UNER
1215;1215-1;1;Facultad de Ciencias de la Vida y la Salud - Universidad Autónoma de Entre Ríos;Estado;Nacional;Universidad pública;UADER;UADER
1216;1216-2;2;Escuela Técnica Nº35 Gral. Don José de San Martín;Estado;Nacional;Institución educativa;Escuela Técnica Nº35 Gral. Don José de San Martín;Escuela Técnica Nº35 Gral. Don José de San Martín
1216;1216-1;2;Facultad de Ciencias de la Vida y la Salud - Universidad Autónoma de Entre Ríos;Estado;Nacional;Universidad pública;UADER;UADER
1217;1217-1;1;Facultad de Ciencias de la Vida y la Salud - Universidad Autónoma de Entre Ríos;Estado;Nacional;Universidad pública;UADER;UADER
1218;1218-1;1;Facultad de Ciencias Económicas - Universidad Nacional de Entre Ríos;Estado;Nacional;Universidad pública;UNER;UNER
1219;1219-1;1;Facultad de Ciencias Económicas y Sociales - Universidad Nacional de Mar del Plata;Estado;Nacional;Universidad pública;UNMDP;UNMDP
1220;1220-4;5;Obispado de Lomas de Zamora;Comunidad;?;Organización religiosa;Obispado de Lomas de Zamora;Obispado de Lomas de Zamora
1220;1220-3;5;Secretaría de Extensión - Instituto Nacional de Tecnología Agropecuaria;Estado;Nacional;Organismo CyT público;INTA;Secretaría de Extensión - Instituto Nacional de Tecnología Agropecuaria
1220;1220-1;5;Facultad de Ciencias Exactas - Universidad Nacional de La Plata;Estado;Nacional;Universidad pública;UNLP;UNLP
1220;1220-2;5;Facultad de Periodismo y Comunicación Social - Universidad Nacional de La Plata ;Estado;Nacional;Universidad pública;UNLP;UNLP
1220;1220-5;5;Radio Universidad Nacional de La Plata - Universidad Nacional de La Plata;Estado;Nacional;Universidad pública;UNLP;UNLP
1221;1221-1;1;Facultad de Ciencias Exactas - Universidad Nacional de Salta;Estado;Nacional;Universidad pública;UNSA;UNSA
1222;1222-1;1;Facultad de Ciencias Exactas - Universidad Nacional del Centro de la Provincia de Buenos Aires;Estado;Nacional;Universidad pública;UNICEN;UNICEN
1223;1223-1;3;Facultad de Ciencias Exactas,  Secretaría de Extensión, Programas de Extensión Cátedra Libre en Salud y Derechos Humanos - Universidad Nacional de la Plata;Estado;Nacional;Universidad pública;UNLP;UNLP
1223;1223-2;3;Programas de Extensión Cátedra Libre en Salud y Derechos Humanos - Universidad Nacional de la Plata;Estado;Nacional;Universidad pública;UNLP;UNLP
1223;1223-3;3;Facultad de Arquitectura - Universidad Nacional de la Plata.;Estado;Nacional;Universidad pública;UNLP;UNLP
1224;1224-1;1;Facultad de Ciencias Exactas Químicas y Naturales, Universidad Nacional de Misiones  UNaM;Estado;Nacional;Universidad pública;UNAM;UNAM
1225;1225-1;1;Facultad de Ciencias Exactas y Naturales UBA;Estado;Nacional;Universidad pública;UBA;UBA
1226;1226-1;1;Facultad de Ciencias Exactas y Naturales - Universidad de Buenos Aires;Estado;Nacional;Universidad pública;UBA;UBA
1227;1227-2;2;Carrera de Investigador Científico Química Biológica, Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET);Estado;Nacional;Organismo CyT público;CONICET;CONICET
1227;1227-1;2;Facultad de Ciencias Exactas y Naturales - Universidad de Buenos Aires;Estado;Nacional;Universidad pública;UBA;UBA
1228;1228-1;1;Facultad de Ciencias Exactas y Naturales - Universidad de Buenos Aires;Estado;Nacional;Universidad pública;UBA;UBA
1229;1229-1;1;Facultad de Ciencias Exactas y Tecnología - Universidad Nacional de Tucumán;Estado;Nacional;Universidad pública;UNT;UNT
1230;1230-2;2;Agencia de Extensión Rural Simoca - INTA;Estado;Nacional;Organismo CyT público;INTA;INTA
1230;1230-1;2;Facultad de Ciencias Exactas y Tecnología - Universidad Nacional de Tucumán;Estado;Nacional;Universidad pública;UNT;UNT
1231;1231-1;1;Facultad de Ciencias Exactas, Físicas y Naturales- Universidad Nacional de Córdoba;Estado;Nacional;Universidad pública;UNC;UNC
1232;1232-1;1;FACULTAD DE CIENCIAS FORESTALES (UNAM);Estado;Nacional;Universidad pública;UNAM;UNAM
1233;1233-2;3;Centro de Investigaciones del Bosque Atlántico (CeIBA);Comunidad;Asociación Civil;ONG;Centro de Investigaciones del Bosque Atlántico (CeIBA);Centro de Investigaciones del Bosque Atlántico (CeIBA)
