Identidades;identidad;nentidad;entidad;tipo1;tipo2;tipo3;tipo4;tipo5;tipoentidad;Idproyecto;año;fondo;instrumento;provincia;titulo;areatematicanormalizada;montorealxproyecto;montorealxpentidad;pentidad
1827;1827-1;2;Laboratorio Industrial Farmacéutico SE (LIF SE);Estado;Empresa estatal;SE;LIF;LIF;beneficiario;2382;2022;COFECyT;PFI ;SANTA FE;Ampliación de capacidades del Centro de Medicina comparada (ICIVET-LITORAL), como herramienta para el desarrollo famacéutico y biotecnológico local y regional;Desarrollo local; $ 155,899 ; $ 51,966 ;3
1827;1827-2;2;CONICET;Estado;Nacional;Organismo CyT público;CONICET;CONICET;beneficiario;2382;2022;COFECyT;PFI ;SANTA FE;Ampliación de capacidades del Centro de Medicina comparada (ICIVET-LITORAL), como herramienta para el desarrollo famacéutico y biotecnológico local y regional;Desarrollo local; $ 155,899 ; $ 51,966 ;3
1828;1828-1;3;Laboratorio Pablo Cassará S.R.L.;Privado;Empresa privada;SRL;Laboratorio Pablo Cassará S.R.L.;Laboratorio Pablo Cassará S.R.L.;beneficiario;3506;2011;FONARSEC;FITS Salud;;Desarrollo de un test competitivo y de alta performance para el diagnóstico molecular de Chagas ;Salud; $ 1,469,208 ; $ 489,736 ;3
1828;1828-2;3;Consejo Nacional de Investigaciones Científicas y Técnicas;Estado;Nacional;Organismo CyT público;CONICET;CONICET;beneficiario;3506;2011;FONARSEC;FITS Salud;;Desarrollo de un test competitivo y de alta performance para el diagnóstico molecular de Chagas ;Salud; $ 1,469,208 ; $ 489,736 ;3
1828;1828-3;3;Unifarma SA;Privado;Empresa privada;SA;Unifarma SA;Unifarma SA;beneficiario;3506;2011;FONARSEC;FITS Salud;;Desarrollo de un test competitivo y de alta performance para el diagnóstico molecular de Chagas ;Salud; $ 1,469,208 ; $ 489,736 ;3
1829;1829-1;2;Laboratorio Prozome;Estado;Empresa estatal;SE;Productora Farmacéutica Rionegrina S.E. (PROFARSE);Productora Farmacéutica Rionegrina S.E. (PROFARSE);beneficiario;3548;2015;FONARSEC;FITR;;Complejo farmoquímico de la Patagonia;Salud; $ 2,529,055 ; $ 1,264,528 ;2
1829;1829-2;2;Invap S.E;Estado;Empresa estatal;SE;INVAP;INVAP;beneficiario;3548;2015;FONARSEC;FITR;;Complejo farmoquímico de la Patagonia;Salud; $ 2,529,055 ; $ 1,264,528 ;2
1830;1830-1;1;Laboulaye;Estado;Municipal;Municipio o comuna;Laboulaye;Laboulaye;beneficiario;600;2008;COFECyT;DETEM ;CÓRDOBA;Tratamiento de residuos sólidos urbanos en la localidad de Laboulaye ;Desarrollo local; $ 100,000 ; $ 50,000 ;2
1831;1831-1;1;Lácteos Esperanza Blanca SA;Privado;Empresa privada;SA;Lácteos Esperanza Blanca SA;Lácteos Esperanza Blanca SA;beneficiario;1894;2017;COFECyT;PFIP ;ENTRE RÍOS;Soluciones tecnológicas en saladeros para aumentar la producción, disminuir el impacto ambiental y mejorar la calidad de los productos, aplicables a la escala productiva de las pymes lácteas entrerrianas;Desarrollo productivo local; $ 157,479 ; $ 78,739 ;2
1832;1832-1;2;Lácteos Esperanza Blanca SA;Privado;Empresa privada;SA;Lácteos Esperanza Blanca SA;Lácteos Esperanza Blanca SA;beneficiario;1912;2017;COFECyT;ESPRO ;ENTRE RÍOS;SISTEMA BIOTEGNOLOGICO DE FITORREMEDIACION, PARA EL TRATAMIENTO DE EFLUENTES DEL SECTOR LACTEO, CADENA PRIMARIA Y SECUNDARIA;Desarrollo productivo regional; $ 181,567 ; $ 60,522 ;3
