N Registro;IDInst;Instrumento_INF;Título_INF;Fondo;Año;Proyectos adjudicados;Monto adjudicado nominal;Monto real adjudicado;;
101;28;Becas JPT;Becas Jóvenes Profesionales TIC;FONSOFT;2015; 275 ; $ 22,230,000 ; $ 4,784,798 ;;
102;28;Becas JPT;Becas Jóvenes Profesionales TIC;FONSOFT;2016; 206 ; $ 17,500,000 ; $ 2,669,166 ;;
103;28;Becas JPT;Becas Jóvenes Profesionales TIC;FONSOFT;2017; 339 ; $ 47,405,000 ; $ 5,738,113 ;;
104;28;Becas JPT;Becas Jóvenes Profesionales TIC;FONSOFT;2018; 250 ; $ 40,000,000 ; $ 3,408,895 ;;
105;28;Becas JPT;Becas Jóvenes Profesionales TIC;FONSOFT;2019; 53 ; $ 8,480,000 ; $ 484,388 ;;
106;29;Becas TICs;Becas de grado TICs;FONARSEC;2009; 37 ; $ 20,000,000 ; $ 17,334,380 ;;
107;30;Becas TICs FONCyT;Becas TICs;FONCYT;2012; 44 ; $ 35,994,000 ; $ 17,051,658 ;;
108;37;CAE;Créditos a Empresas para Proyectos de Modernización;FONTAR;2008; 87 ; $ 106,963,708 ; $ 106,963,708 ;;
109;37;CAE;Créditos a Empresas para Proyectos de Modernización;FONTAR;2009; 5 ; $ 2,411,887 ; $ 2,090,428 ;;
110;37;CAE;Créditos a Empresas para Proyectos de Modernización;FONTAR;2011; 23 ; $ 28,515,998 ; $ 16,523,589 ;;
111;37;CAE;Créditos a Empresas para Proyectos de Modernización;FONTAR;2012; 17 ; $ 42,489,261 ; $ 20,128,698 ;;
112;37;CAE;Créditos a Empresas para Proyectos de Modernización;FONTAR;2013; 15 ; $ 46,131,649 ; $ 17,631,658 ;;
113;37;CAE;Créditos a Empresas para Proyectos de Modernización;FONTAR;2014; 6 ; $ 10,981,634 ; $ 2,991,963 ;;
114;37;CAE;Créditos a Empresas para Proyectos de Modernización;FONTAR;2015; 16 ; $ 56,178,925 ; $ 12,091,985 ;;
115;37;CAE;Créditos a Empresas para Proyectos de Modernización;FONTAR;2016; 12 ; $ 64,475,823 ; $ 9,834,095 ;;
116;37;CAE;Créditos a Empresas para Proyectos de Modernización;FONTAR;2017; 3 ; $ 13,027,897 ; $ 1,576,955 ;;
117;31;CEN-TEC;Centros de Desarrollo Tecnológico;FONTAR;2014; 6 ; $ 117,536,548 ; $ 32,023,010 ;;
118;31;CEN-TEC;Centros de Desarrollo Tecnológico;FONTAR;2015; 2 ; $ 33,403,111 ; $ 7,189,705 ;;
119;31;CEN-TEC;Centros de Desarrollo Tecnológico;FONTAR;2016; 1 ; $ 26,241,797 ; $ 4,002,498 ;;
120;31;CEN-TEC;Centros de Desarrollo Tecnológico;FONTAR;2018;; $ 18,835,386 ; $ 1,605,196 ;;
121;36;CF;Crédito Fiscal;FONTAR;2008; 145 ; $ 45,400,000 ; $ 45,400,000 ;;
122;36;CF;Crédito Fiscal;FONTAR;2009; 126 ; $ 40,000,000 ; $ 34,668,760 ;;
123;36;CF;Crédito Fiscal;FONTAR;2010; 122 ; $ 40,000,000 ; $ 28,671,980 ;;
124;34;CT;Consejerías Tecnológicas;FONTAR;2012; 7 ; $ 671,900 ; $ 318,303 ;;
125;34;CT;Consejerías Tecnológicas;FONTAR;2013; 21 ; $ 1,425,167 ; $ 544,703 ;;
126;34;CT;Consejerías Tecnológicas;FONTAR;2014; 5 ; $ 795,920 ; $ 216,850 ;;
127;34;CT;Consejerías Tecnológicas;FONTAR;2015; 11 ; $ 1,151,272 ; $ 247,800 ;;
128;38;CRE+CO;Créditos para Mejora de Competitividad;FONTAR;2012; 75 ; $ 259,739,333 ; $ 123,047,904 ;;
129;38;CRE+CO;Créditos para Mejora de Competitividad;FONTAR;2013; 88 ; $ 352,571,196 ; $ 134,753,796 ;;
130;38;CRE+CO;Créditos para Mejora de Competitividad;FONTAR;2014; 28 ; $ 103,135,155 ; $ 28,099,329 ;;
131;38;CRE+CO;Créditos para Mejora de Competitividad;FONTAR;2015; 4 ; $ 19,667,072 ; $ 4,233,152 ;;
132;35;CE;Crédito exporta;FONSOFT;2008; 2 ; $ 367,520 ; $ 367,520 ;;
133;35;CE;Crédito exporta;FONSOFT;2009; 8 ; $ 1,807,601 ; $ 1,566,682 ;;
134;35;CE;Crédito exporta;FONSOFT;2010; 2 ; $ 599,735 ; $ 429,890 ;;
135;35;CE;Crédito exporta;FONSOFT;2011; 1 ; $ 300,000 ; $ 173,835 ;;
136;35;CE;Crédito exporta;FONSOFT;2012; 1 ; $ 158,780 ; $ 75,220 ;;
137;35;CE;Crédito exporta;FONSOFT;2013; 1 ; $ 258,790 ; $ 98,910 ;;
138;35;CE;Crédito exporta;FONSOFT;2014; 3 ; $ 1,775,133 ; $ 483,638 ;;
139;35;CE;Crédito exporta;FONSOFT;2015; 3 ; $ 6,554,881 ; $ 1,410,876 ;;
140;35;CE;Crédito exporta;FONSOFT;2016; 4 ; $ 11,260,508 ; $ 1,717,495 ;;
141;35;CE;Crédito exporta;FONSOFT;2017; 4 ; $ 9,712,482 ; $ 1,175,642 ;;
142;35;CE;Crédito exporta;FONSOFT;2018; 3 ; $ 5,397,800 ; $ 460,013 ;;
143;35;CE;Crédito exporta;FONSOFT;2019; 1 ; $ 2,496,000 ; $ 142,575 ;;
144;36;CF;Crédito Fiscal;FONTAR;2011; 70 ; $ 40,000,000 ; $ 23,177,991 ;;
145;36;CF;Crédito Fiscal;FONTAR;2012; 80 ; $ 59,840,802 ; $ 28,348,750 ;;
146;36;CF;Crédito Fiscal;FONTAR;2013; 87 ; $ 73,064,334 ; $ 27,925,413 ;;
147;36;CF;Crédito Fiscal;FONTAR;2014; 55 ; $ 52,752,751 ; $ 14,372,567 ;;
148;36;CF;Crédito Fiscal;FONTAR;2015; 70 ; $ 100,452,721 ; $ 21,621,502 ;;
149;36;CF;Crédito Fiscal;FONTAR;2016; 85 ; $ 166,858,832 ; $ 25,449,936 ;;
150;36;CF;Crédito Fiscal;FONTAR;2017; 103 ; $ 218,279,190 ; $ 26,421,490 ;;
151;36;CF;Crédito Fiscal;FONTAR;2018; 1 ; $ 2,934,465 ; $ 250,082 ;;
152;40;D-TEC;Doctores en Universidades para Transferencia Tecnológica;Presidencia;2014; 22 ; $ 18,551,847 ; $ 5,054,479 ;;
153;40;D-TEC;Doctores en Universidades para Transferencia Tecnológica;Presidencia;2015;; $ 233,014 ; $ 50,154 ;;
154;40;D-TEC;Doctores en Universidades para Transferencia Tecnológica;Presidencia;2016;; $ 176,564 ; $ 26,930 ;;
155;42;EBT COVID-19;Empresas de Base Tecnológica COVID-19;FONARSEC;2021; 1 ; $ 24,187,295 ; $ 639,835 ;;
156;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2008; 120 ; $ 8,590,858 ; $ 8,590,858 ;;
157;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2009; 74 ; $ 7,092,932 ; $ 6,147,579 ;;
158;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2010; 202 ; $ 21,563,631 ; $ 15,456,800 ;;
159;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2011; 202 ; $ 25,011,810 ; $ 14,493,088 ;;
160;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2012; 96 ; $ 13,114,252 ; $ 6,212,695 ;;
161;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2013; 114 ; $ 19,343,438 ; $ 7,393,122 ;;
162;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2014; 122 ; $ 23,592,624 ; $ 6,427,846 ;;
163;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2015; 201 ; $ 84,491,094 ; $ 18,185,912 ;;
164;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2016; 121 ; $ 55,416,228 ; $ 8,452,291 ;;
165;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2017; 110 ; $ 49,329,577 ; $ 5,971,073 ;;
166;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2018; 65 ; $ 34,186,982 ; $ 2,913,496 ;;
167;41;Emprendedores Fonsoft;Emprendedores Fonsoft;FONSOFT;2019; 6 ; $ 3,043,319 ; $ 173,838 ;;
168;43;EBT 2.0;Empresas de Base Tecnológica 2.0 ;FONARSEC;2018; 26 ; $ 93,225,243 ; $ 7,944,877 ;;
169;44;EMPRETECNO PAEBT ;Programa de impulso a las Empresas de Base Tecnológica;FONARSEC;2011; 27 ; $ 50,047,382 ; $ 28,999,944 ;;
170;44;EMPRETECNO PAEBT ;Programa de impulso a las Empresas de Base Tecnológica;FONARSEC;2012; 6 ; $ 12,656,175 ; $ 5,995,687 ;;
171;44;EMPRETECNO PAEBT ;Programa de impulso a las Empresas de Base Tecnológica;FONARSEC;2013; 39 ; $ 87,764,396 ; $ 33,543,822 ;;
172;44;EMPRETECNO PAEBT ;Programa de impulso a las Empresas de Base Tecnológica;FONARSEC;2014; 24 ; $ 60,147,322 ; $ 16,387,229 ;;
