N Registro;IDInst;Instrumento_INF;Título_INF;Fondo;Año;Proyectos adjudicados;Monto adjudicado nominal;Monto real adjudicado;;
416;65;KITS COVID-19 EyE;KITS COVID-19 Escalamiento y exportación;FONARSEC;2022;; $ 1,988,000 ; $ 30,993 ;;
417;67;PE - PPM;PE en Producción Pública de Medicamentos;FONARSEC;2022; 1 ; $ 65,000,000 ; $ 1,013,343 ;;
418;68;PE - TE;PE en Transición Energética;FONARSEC;2022; 13 ; $ 1,168,782,102 ; $ 18,221,180 ;;
419;70;PICT Aplicados Cat III;PICT Aplicados Cat III;FONARSEC;2022; 27 ; $ 967,223,862 ; $ 15,078,910 ;;
420;45;VACUNAS AR Ensayos in vivo;Ensayos in vivo de vacunas;FONARSEC;2022;; $ 1,107,123,850 ; $ 17,259,934 ;;
421;67;PE - PPM;PE en Producción Pública de Medicamentos;FONARSEC;2023;; $ 146,206,350 ; $ 969,471 ;;
422;33;CPI;Compras Públicas Innovadoras;FONARSEC;2023; 3 ; $ 95,492,000 ; $ 633,192 ;;
423;101;PASN;Promoción de la Alimentación Saludable y Nutritiva;FONARSEC;2023; 22 ; $ 1,420,158,277 ; $ 9,416,841 ;;
424;102;TT;Talleres Tecnológicos;FONARSEC;2023; 17 ; $ 160,804,750 ; $ 1,066,270 ;;
425;44;EMPRETECNO PAEBT ;Programa de impulso a las Empresas de Base Tecnológica;FONARSEC;2023; 27 ; $ 1,550,896,898 ; $ 10,283,748 ;;
426;17;ANR PDT;ANR Proyectos de Desarrollo Tecnológico;FONTAR;2023; 131 ; $ 3,385,656,588 ; $ 22,449,744 ;;
427;45;VACUNAS AR Ensayos in vivo;Ensayos in vivo de vacunas;FONARSEC;2023;; $ 521,548,796 ; $ 3,458,306 ;;
428;7;ANR Capacidades;ANR Capacidades;FONTAR;2023; 182 ; $ 6,122,119,131 ; $ 40,594,787 ;;
429;24;AR;Aportes reembolsables;FONTAR;2023; 20 ; $ 808,066,494 ; $ 5,358,159 ;;
430;26;ARSET;Aportes reembolsables para Prestación y Consolidación de Servicios Tecnológicos;FONTAR;2023; 5 ; $ 514,240,883 ; $ 3,409,849 ;;
431;38;CRE+CO;Créditos para Mejora de Competitividad;FONTAR;2023; 49 ; $ 3,843,687,587 ; $ 25,486,874 ;;
432;99;Tecnotecas;Tecnotecas;FONTAR;2023; 4 ; $ 1,999,348,208 ; $ 13,257,356 ;;
433;13;ANR INT;ANR Internacional;FONTAR;2023; 4 ; $ 66,999,615 ; $ 444,264 ;;
434;39;Art.2 - Ley 23.877;Créditos para Modernización (Art 2 Reglamento Ley 23.877);FONTAR;2023; 88 ; $ 1,354,883,473 ; $ 8,984,014 ;;
435;47;Fondo de Co-Inversión con provincias;Fondo de Co-Inversión con provincias;FONTAR;2023; 45 ; $ 540,774,051 ; $ 3,585,786 ;;
436;19;ANR RRHH AC;ANR Recursos Humanos Altamente Capacitados;FONTAR;2023; 3 ; $ 19,012,500 ; $ 126,069 ;;
437;103;ANR ASIS-Form;ANR Asistencia Formuladores (Provincias);FONTAR;2023; 4 ; $ 3,450,000 ; $ 22,876 ;;
438;104;ANR Coop;ANR Cooperativas;FONTAR;2023; 16 ; $ 143,254,339 ; $ 949,896 ;;
439;105;Tecnotecas II;Tecnotecas Ejecución;FONTAR;2023; 1 ; $ 15,000,000 ; $ 99,463 ;;
440;5;ANR ASOC;ANR Asociativos;FONTAR;2023; 2 ; $ 53,166,890 ; $ 352,541 ;;
441;4;ANR ASIS-TECi;ANR Asistencias Tecnológicas Individuales;FONTAR;2023; 5 ; $ 5,196,000 ; $ 34,454 ;;
442;3;ANR ASIS-TECg;ANR Asistencias Tecnológicas Grupales;FONTAR;2023; 1 ; $ 10,524,000 ; $ 69,783 ;;
443;106;CENDES-ST;CENDES-ST;FONTAR;2023; 2 ; $ 1,860,920,704 ; $ 12,339,466 ;;
444;107;ANR NANOBIOTEC;ANR NANOBIOTEC;FONTAR;2023; 2 ; $ 309,217,769 ; $ 2,050,373 ;;
445;108;Venture Capital;Fortalecimiento de la actividad emprendedora - Venture Capital (USD 1.642.500);FONTAR;2023; 1 ; $ 626,301,675 ; $ 4,152,906 ;;
446;73;PICT-O;PICT Orientados;FONCYT;2023; 120 ; $ 364,741,871 ; $ 2,418,545 ;;
447;86;PICT;Proyectos de Investigación Científica y Tecnológica;FONCYT;2023; 1,574 ; $ 9,630,584,236 ; $ 63,858,855 ;;
448;80;PRH - PIDRI;Programa de Recursos Humanos - Radicación de Investigadores en Áreas Tecnológicas Prioritarias;FONCYT;2021; 1 ; $ 1,999,998 ; $ 52,907 ;;
449;109;PICTO-UCTH;PICTO Unidades de Conocimiento Traslacional Hospitalarias;FONCYT;2023; 9 ; $ 186,929,973 ; $ 1,239,503 ;;
450;78;P Mov Fed;Programa de Movilidad Federal;FONCYT;2023; 55 ; $ 66,964,423 ; $ 444,030 ;;
451;75;PICT Start Up;PICT Start Up;FONCYT;2023; 12 ; $ 173,730,000 ; $ 1,151,976 ;;
452;87;PID;Proyectos de Investigación y Desarrollo;FONCYT;2023; 3 ; $ 50,630,000 ; $ 335,719 ;;
453;84;PICT-E;PICT Equipamiento (Unidades Ejecutoras de PICT);FONCYT;2023; 194 ; $ 3,414,450,010 ; $ 22,640,669 ;;
454;110;PICT Raíces Federal;PICT Raíces Federal;FONCYT;2023; 4 ; $ 56,992,000 ; $ 377,905 ;;
455;94;RC;Reuniones Científicas;FONCYT;2023; 381 ; $ 385,588,846 ; $ 2,556,778 ;;
456;111;PICT Radicación;PICT Radicación;FONCYT;2023; 5 ; $ 69,996,000 ; $ 464,132 ;;
457;88;PID CLINICOS;Proyectos de Investigación y Desarrollos Clínicos;FONCYT;2023; 6 ; $ 150,000,000 ; $ 994,626 ;;
;;;;;;;;;;
